Date, Lights Per Day, PD
9/21/2014,1,nan
6/22/2012,20,9
6/16/2013,20,11
9/18/2012,63,16
2/27/2012,114,12
9/1/2015,282,9
10/16/2014,155,3
1/1/2014,104,4
10/19/2008,1,4
11/25/2006,1,4
11/29/2016,126,16
11/6/2011,36,23
1/5/2012,88,18
11/3/2012,16,17
1/15/2016,166,10
1/4/2017,112,16
4/26/2011,180,22
9/27/2016,1,nan
2/20/2013,1,31
10/25/2016,121,3
10/12/2011,180,17
4/24/2012,3,20
10/27/2011,97,13
10/2/2016,166,6
4/7/2017,119,22
10/2/2008,1,4
8/21/2010,1,17
8/24/2010,1,25
8/28/2014,5,0
11/21/2016,3,31
8/21/2012,87,11
2/10/2015,145,6
9/14/2014,172,25
5/15/2015,118,16
8/23/2011,262,4
7/15/2015,1,nan
3/7/2016,203,12
4/16/2011,76,5
10/1/2016,206,9
7/8/2016,1,nan
5/17/2015,103,10
10/24/2013,139,4
5/3/2013,4,1
1/22/2016,30,24
1/6/2012,147,11
9/28/2015,333,7
7/6/2011,47,13
9/9/2012,108,5
8/25/2015,321,25
6/21/2012,85,4
12/18/2010,33,13
6/6/2016,160,4
2/14/2016,146,25
12/21/2015,387,6
2/1/2016,267,4
7/23/2014,69,17
2/2/2017,90,2
6/1/2013,2,1
10/26/2014,63,15
9/29/2010,1,18
3/24/2013,1,nan
7/5/2017,88,5
6/28/2013,33,5
1/27/2015,45,1
11/26/2015,122,11
9/20/2014,50,18
6/9/2017,17,20
1/13/2012,3,0
3/9/2016,127,18
12/17/2011,70,9
10/20/2014,83,15
3/8/2015,41,17
10/15/2011,28,2
12/15/2013,28,11
5/22/2006,1,4
5/14/2016,1,nan
3/26/2013,23,7
12/16/2016,1,nan
3/8/2016,144,25
5/6/2017,51,1
12/21/2016,1,nan
4/14/2016,106,10
7/20/2012,113,22
3/9/2015,107,14
4/24/2016,2,31
11/25/2012,23,13
1/13/2014,14,19
3/4/2017,111,11
7/17/2016,238,9
2/19/2011,27,23
4/13/2012,25,5
11/2/2016,162,11
8/13/2015,50,24
11/30/2014,36,19
6/7/2017,83,14
4/15/2006,1,4
5/5/2012,2,3
12/22/2010,81,11
3/14/2015,2,0
5/18/2014,10,18
4/22/2011,2,0
10/19/2010,2,12
7/15/2015,12,20
8/25/2011,51,13
10/2/2013,1,nan
10/6/2016,3,31
5/29/2016,38,24
1/18/2017,643,8
1/9/2011,57,9
1/6/2014,115,6
2/17/2012,5,21
9/16/2015,1,nan
3/3/2016,6,0
10/24/2015,118,2
10/11/2013,119,4
3/9/2012,85,6
5/13/2015,89,17
8/23/2017,44,2
10/11/2012,27,3
6/29/2016,155,16
5/27/2014,83,9
2/26/2017,1,nan
12/24/2016,157,10
3/24/2005,1,4
12/5/2015,1,nan
9/12/2015,226,9
11/16/2016,197,7
7/19/2009,1,4
8/16/2015,1,nan
8/16/2011,127,19
6/15/2015,201,25
4/7/2016,1,nan
3/20/2016,582,8
9/21/2012,63,9
8/28/2011,51,13
7/15/2014,482,8
2/28/2013,16,15
9/20/2014,69,2
5/2/2013,32,4
2/11/2016,77,19
9/1/2017,221,22
1/30/2012,53,3
12/5/2010,11,24
10/16/2011,310,22
7/27/2012,135,22
11/20/2013,27,17
9/29/2013,64,12
10/21/2011,31,23
2/20/2012,134,25
11/23/2014,82,9
3/16/2017,10,0
8/2/2014,259,6
10/9/2015,462,6
6/9/2016,1,nan
8/25/2014,176,7
12/3/2014,1,nan
12/5/2014,34,1
5/28/2017,1,nan
1/22/2013,14,1
6/13/2017,69,5
2/4/2016,219,3
3/25/2011,40,3
11/19/2015,108,11
7/8/2016,97,18
12/22/2011,38,20
5/31/2016,1,nan
12/20/2015,186,7
7/29/2017,58,18
11/7/2016,251,4
2/5/2015,172,6
11/6/2015,128,15
11/22/2016,160,3
3/18/2012,2,21
11/11/2013,39,10
4/21/2015,81,2
7/25/2015,1,nan
1/1/2017,109,15
5/16/2011,51,24
7/20/2016,205,7
10/19/2015,10,0
8/19/2012,37,17
7/1/2015,9,0
2/25/2012,113,12
12/27/2011,182,17
3/24/2011,3,0
11/27/2016,149,9
12/28/2016,65,19
10/23/2016,138,2
2/11/2016,14,20
4/13/2014,24,14
7/8/2014,476,8
1/8/2011,55,9
10/4/2014,146,12
5/30/2012,8,1
5/18/2016,92,15
11/29/2010,68,6
3/24/2012,14,1
7/5/2016,122,11
6/5/2016,146,4
3/1/2011,199,16
9/11/2015,172,17
5/23/2014,64,16
12/9/2013,31,16
4/29/2011,133,17
4/4/2011,47,23
2/14/2015,132,22
9/16/2011,448,16
7/19/2015,257,3
3/16/2017,46,17
10/4/2011,57,23
5/11/2011,47,3
3/28/2013,6,20
5/22/2013,10,19
4/6/2014,37,10
4/26/2012,30,5
5/1/2017,177,22
10/21/2014,145,12
3/16/2012,1,nan
3/5/2014,59,22
8/22/2014,23,1
12/24/2014,60,18
6/20/2015,320,4
11/10/2011,89,3
7/14/2014,1,nan
12/11/2013,102,6
11/8/2014,1,nan
10/31/2015,258,4
6/4/2015,385,4
6/24/2015,128,16
1/8/2012,129,5
3/31/2017,130,4
1/11/2014,106,6
9/8/2012,104,5
8/22/2016,377,10
4/22/2012,27,7
11/11/2012,12,24
4/28/2013,8,3
10/12/2015,542,22
1/27/2016,1,nan
6/16/2016,152,10
7/19/2013,14,2
11/10/2014,10,0
6/29/2013,9,14
5/1/2016,1,nan
9/29/2014,270,16
12/23/2011,6,0
10/28/2012,63,11
11/3/2016,1,nan
2/1/2017,209,12
9/5/2016,96,19
8/31/2015,99,1
4/20/2016,26,20
3/26/2012,28,13
9/14/2016,263,9
3/6/2015,10,24
3/9/2017,1,nan
11/20/2010,34,5
5/3/2017,103,12
5/27/2011,69,14
2/21/2017,96,15
9/24/2012,1,nan
2/21/2017,184,4
7/9/2015,31,19
7/24/2012,69,11
7/28/2016,520,4
1/10/2015,115,5
10/13/2014,261,4
5/31/2014,1,nan
2/12/2013,15,12
4/1/2015,158,11
9/23/2013,13,14
4/8/2013,20,16
3/7/2013,10,14
12/12/2016,104,5
3/7/2015,42,2
11/24/2015,1,nan
2/9/2016,4,0
3/19/2016,1,31
2/8/2014,10,19
11/24/2010,64,6
6/15/2012,56,11
12/14/2012,26,11
4/17/2014,13,1
4/8/2016,1,nan
10/22/2014,81,19
11/8/2015,1,nan
10/14/2012,32,15
8/7/2012,35,10
1/20/2013,14,17
4/15/2015,64,18
2/27/2015,96,11
7/24/2012,31,18
8/2/2010,1,25
2/12/2013,9,18
1/25/2017,274,9
10/2/2007,1,4
8/23/2015,440,4
1/23/2016,245,4
3/20/2014,49,11
6/23/2014,16,20
9/16/2012,54,10
2/23/2013,24,4
1/5/2014,44,12
9/27/2013,44,17
5/26/2013,14,16
4/2/2014,64,3
1/3/2012,81,3
1/31/2014,107,22
11/2/2014,54,18
2/20/2009,1,4
1/1/2011,11,20
6/11/2014,124,11
11/25/2010,13,3
9/4/2012,30,19
3/31/2015,4,0
6/2/2013,7,20
12/8/2016,109,16
4/2/2012,116,25
4/16/2017,21,24
1/31/2011,5,2
9/7/2016,58,1
6/26/2017,115,7
12/25/2010,55,9
7/1/2016,177,3
7/23/2016,1,nan
8/10/2011,116,17
12/29/2010,121,6
6/5/2013,7,20
3/22/2011,65,7
12/14/2011,101,18
10/8/2014,196,22
9/8/2016,282,4
1/17/2016,21,20
4/22/2017,149,4
11/15/2011,73,1
5/11/2015,70,17
9/7/2017,73,3
5/28/2011,89,17
12/6/2008,1,4
5/3/2014,156,6
3/1/2012,88,8
6/15/2011,61,13
6/2/2014,58,25
5/10/2017,15,20
2/10/2011,52,6
3/29/2016,199,3
8/3/2016,12,0
7/14/2010,1,16
4/20/2013,16,16
11/3/2015,184,17
4/24/2013,19,9
5/17/2012,44,14
5/25/2011,21,21
8/5/2011,53,18
9/3/2017,1,nan
5/8/2013,14,5
9/13/2016,128,17
7/30/2017,79,3
10/31/2012,49,9
7/17/2017,2,31
11/24/2016,57,17
9/14/2010,1,1
8/9/2015,162,10
8/24/2016,188,11
4/17/2011,177,22
10/3/2015,70,1
1/24/2017,1,nan
1/6/2005,1,4
6/13/2015,168,25
4/12/2017,33,24
7/30/2011,130,7
8/17/2011,95,24
5/6/2012,44,22
10/9/2010,1,25
4/6/2016,22,20
5/19/2014,3,0
6/18/2015,134,12
7/1/2013,22,12
8/18/2017,11,20
8/5/2015,76,1
2/26/2017,1,nan
12/28/2013,110,22
8/25/2012,53,14
1/16/2017,215,10
7/24/2011,6,0
11/6/2013,32,17
8/28/2014,89,2
8/11/2007,1,4
8/27/2015,376,22
7/2/2013,20,17
6/23/2012,58,15
8/7/2013,8,20
9/26/2011,490,16
11/13/2016,1,nan
11/19/2016,1,nan
12/1/2013,34,15
10/9/2014,129,3
7/22/2010,1,4
12/31/2013,23,19
8/7/2014,399,8
12/20/2010,78,25
12/24/2015,135,18
3/5/2017,91,14
9/10/2011,102,24
6/16/2017,34,19
10/4/2014,5,31
9/13/2016,1,nan
10/6/2016,1,nan
12/20/2015,69,5
3/12/2013,1,nan
5/3/2017,98,15
8/31/2016,425,22
12/3/2011,104,24
9/5/2013,18,14
11/28/2015,1,nan
11/18/2010,3,2
5/1/2017,82,16
7/24/2017,55,19
6/28/2014,1,nan
1/5/2011,194,4
5/28/2015,63,17
1/13/2017,573,8
8/27/2013,28,15
1/29/2016,208,3
8/23/2016,1,nan
4/28/2016,92,5
6/11/2012,51,11
4/20/2011,98,10
4/8/2014,57,2
3/1/2016,176,9
7/13/2014,81,11
2/16/2013,1,0
5/18/2011,103,17
1/3/2012,140,5
1/26/2017,21,20
6/29/2016,1,nan
12/14/2010,42,9
5/7/2014,11,18
6/3/2015,1,nan
5/11/2014,135,6
4/8/2017,44,17
7/1/2011,130,10
5/17/2014,31,12
4/1/2013,11,3
4/29/2017,35,17
2/12/2016,135,14
4/16/2013,4,19
12/1/2014,76,15
6/13/2017,14,20
11/4/2016,16,0
5/7/2013,2,13
11/5/2012,23,16
8/8/2014,365,22
12/30/2014,56,24
10/13/2011,1,31
12/18/2014,115,5
6/29/2013,21,12
8/9/2013,13,18
11/15/2015,74,1
5/26/2015,258,22
1/27/2017,19,0
6/29/2013,10,2
10/14/2011,90,19
9/17/2017,1,nan
4/2/2011,2,31
4/21/2016,1,nan
12/26/2016,1,nan
12/21/2011,84,10
3/1/2017,1,nan
3/6/2013,48,8
9/14/2017,238,22
12/9/2015,95,5
1/31/2016,418,8
7/13/2017,46,1
2/17/2015,150,25
4/29/2017,1,nan
7/7/2017,1,nan
10/16/2016,256,4
12/26/2016,267,22
3/17/2015,24,1
1/26/2017,292,4
8/21/2011,428,16
10/14/2015,156,7
1/21/2015,54,2
11/19/2011,116,15
1/17/2016,1,nan
5/1/2011,178,22
4/30/2013,1,nan
11/2/2016,1,nan
10/29/2011,8,0
8/20/2014,39,1
11/13/2013,62,6
7/12/2015,142,12
8/8/2011,65,13
2/18/2017,99,17
9/8/2017,527,8
1/27/2017,104,2
5/31/2013,24,5
3/23/2013,5,20
5/25/2009,1,4
3/16/2013,28,10
1/26/2012,24,20
6/30/2016,1,nan
7/22/2012,1,0
9/6/2011,243,25
9/12/2016,278,3
11/13/2010,10,1
2/27/2012,16,23
7/13/2012,82,8
5/21/2015,40,17
7/28/2017,1,nan
4/18/2015,228,4
5/18/2017,1,nan
2/3/2011,54,14
11/24/2012,8,20
1/2/2015,63,19
8/16/2010,1,25
12/13/2016,346,22
2/3/2016,1,nan
2/5/2012,78,8
7/22/2017,1,31
1/17/2013,2,0
9/8/2013,76,6
7/8/2013,22,7
2/16/2011,105,4
6/12/2011,152,25
11/22/2014,121,12
6/15/2014,80,16
10/26/2015,110,18
8/22/2008,1,4
10/5/2010,13,15
6/9/2014,163,22
10/10/2014,172,16
9/13/2017,1,nan
3/24/2017,1,31
12/30/2010,60,9
8/19/2005,1,4
10/26/2016,235,7
6/17/2017,1,nan
1/22/2016,141,7
6/26/2015,8,0
2/23/2013,21,11
11/15/2013,44,25
10/15/2013,112,6
5/4/2011,58,19
2/1/2016,127,11
3/31/2011,46,21
10/2/2012,84,5
3/29/2012,61,4
10/5/2011,450,16
4/18/2017,67,2
10/26/2014,19,20
11/2/2011,8,0
12/22/2010,110,6
11/9/2012,22,2
1/18/2013,9,24
11/1/2016,210,9
8/20/2011,6,0
11/26/2015,362,16
6/18/2013,24,11
4/21/2011,9,2
12/18/2011,99,7
12/7/2014,83,7
7/7/2017,33,19
2/20/2011,1,31
5/24/2011,110,15
6/22/2015,394,8
7/20/2014,74,17
3/16/2011,77,5
12/1/2016,1,nan
12/16/2013,20,17
12/19/2016,193,9
3/8/2016,437,4
9/15/2014,52,24
4/19/2014,12,24
8/10/2015,103,19
9/26/2013,35,24
5/21/2016,71,5
7/10/2012,48,10
8/13/2017,1,nan
11/25/2013,151,22
6/7/2015,13,24
3/3/2013,3,20
1/17/2012,40,23
8/17/2014,40,14
12/6/2014,118,11
9/3/2015,17,20
8/14/2013,18,18
1/31/2014,33,25
12/7/2012,65,8
1/17/2015,95,16
7/26/2013,25,10
4/24/2011,76,24
3/8/2017,542,8
6/13/2011,119,15
1/1/2016,1,nan
1/2/2017,113,15
11/25/2014,67,14
2/18/2017,1,nan
1/8/2016,1,nan
12/18/2015,101,17
1/3/2011,135,6
11/3/2014,109,9
11/13/2012,24,3
2/4/2017,1,nan
11/23/2016,127,16
3/24/2015,3,0
6/26/2011,96,24
12/11/2014,3,31
8/8/2017,28,24
3/29/2015,42,24
11/3/2016,172,5
7/3/2012,21,2
5/8/2011,52,13
9/6/2014,209,3
8/28/2011,249,22
3/10/2014,50,3
11/22/2011,429,22
5/28/2013,17,16
7/25/2012,100,25
2/17/2017,77,2
6/27/2011,16,2
3/19/2015,76,5
1/8/2016,314,3
3/26/2011,3,0
12/27/2010,158,16
10/28/2016,1,nan
1/5/2016,266,16
9/22/2017,150,9
9/25/2011,200,5
1/28/2017,22,24
8/26/2017,109,11
1/31/2017,101,18
10/20/2012,29,3
4/29/2014,96,7
11/27/2011,350,8
11/19/2015,1,nan
7/6/2014,123,11
4/21/2012,27,6
8/25/2014,33,24
6/17/2014,35,14
1/7/2014,29,1
10/3/2012,69,14
2/23/2017,1,nan
3/23/2017,182,15
3/10/2013,1,nan
9/18/2015,115,15
8/31/2013,6,19
12/26/2014,70,14
3/28/2016,117,18
1/22/2017,1,nan
9/20/2015,1,nan
11/22/2015,417,22
3/27/2015,107,11
5/4/2013,19,5
1/1/2017,61,16
4/18/2015,1,nan
12/9/2015,64,25
6/26/2016,81,15
5/3/2015,216,3
1/8/2007,1,4
12/25/2012,4,3
2/8/2012,15,19
10/5/2015,1,nan
5/19/2012,72,8
11/18/2014,102,15
2/11/2012,61,5
4/9/2014,15,20
12/2/2013,46,2
2/15/2014,85,7
10/29/2012,12,3
1/8/2011,14,20
1/4/2013,13,1
6/4/2012,11,17
11/18/2012,124,4
2/9/2014,123,4
5/18/2016,76,18
9/16/2017,103,16
4/23/2015,1,nan
8/11/2015,239,9
1/28/2015,104,3
7/13/2016,141,19
3/21/2015,66,14
11/10/2012,25,9
2/28/2011,20,21
8/10/2017,250,22
10/28/2014,157,25
1/15/2016,1,nan
6/2/2015,1,nan
4/25/2015,170,6
5/6/2014,71,11
10/28/2009,1,4
2/14/2012,89,15
4/26/2013,17,5
5/7/2004,1,4
10/9/2007,1,4
5/22/2013,22,14
1/4/2014,1,20
5/25/2015,165,7
2/23/2017,127,14
3/30/2013,10,2
7/17/2012,16,1
10/26/2015,6,0
3/14/2013,34,22
1/4/2015,270,8
9/22/2011,145,11
8/5/2014,18,20
5/15/2017,61,18
11/13/2015,371,4
1/3/2016,1,nan
8/14/2017,1,nan
6/21/2013,24,22
7/5/2015,64,17
6/20/2014,23,14
6/30/2017,401,8
3/22/2012,23,1
7/11/2017,28,20
9/27/2015,1,nan
12/20/2005,1,4
12/10/2015,348,16
1/6/2016,263,16
10/28/2011,339,25
1/28/2017,104,16
5/11/2016,200,7
2/16/2016,182,10
7/15/2016,116,14
5/19/2017,65,18
3/16/2013,48,8
7/16/2014,19,20
11/12/2016,127,18
7/31/2013,18,24
7/14/2012,12,12
10/4/2016,176,5
4/14/2012,70,25
6/21/2011,332,16
5/30/2014,2,0
1/24/2016,1,nan
8/12/2014,278,6
6/26/2013,12,1
3/21/2011,111,17
5/3/2011,76,5
6/1/2012,11,3
8/20/2015,248,11
2/25/2017,43,19
12/7/2016,1,nan
6/5/2015,149,10
6/2/2017,104,11
6/18/2010,1,17
2/17/2013,9,18
11/17/2016,104,19
1/16/2014,46,3
10/1/2011,104,24
4/2/2013,11,25
4/1/2015,168,16
6/3/2016,42,1
1/1/2013,13,3
10/20/2015,523,8
5/10/2011,199,22
7/7/2011,81,15
1/22/2015,45,15
2/8/2014,129,8
3/26/2016,97,10
10/30/2014,10,0
4/1/2012,26,12
5/25/2014,70,25
8/6/2011,120,10
10/14/2016,3,31
11/8/2013,19,18
5/30/2016,81,18
4/5/2013,3,14
10/29/2010,3,12
8/17/2017,124,11
10/10/2014,1,nan
5/21/2016,1,nan
1/11/2017,76,17
7/7/2014,492,8
3/23/2012,31,12
3/27/2006,1,4
4/27/2017,105,15
5/18/2017,172,6
6/10/2011,59,13
11/12/2015,63,11
12/27/2011,60,1
12/17/2015,86,25
9/2/2015,21,24
12/12/2013,4,20
10/25/2010,1,2
6/19/2013,41,6
10/31/2014,15,24
1/27/2016,322,22
11/28/2016,236,4
8/18/2017,1,nan
5/31/2016,161,12
7/22/2015,103,5
3/23/2005,1,4
10/7/2010,4,7
11/8/2010,25,14
4/2/2012,13,2
8/9/2017,132,25
6/12/2014,12,20
12/22/2014,34,1
1/21/2014,35,16
10/20/2010,5,25
9/21/2011,107,15
8/6/2013,21,1
11/5/2014,152,5
9/1/2013,28,16
9/6/2015,195,15
2/14/2011,74,6
7/12/2017,82,18
1/10/2012,248,25
12/14/2011,133,15
8/25/2017,33,24
7/18/2011,2,0
6/3/2014,172,22
4/8/2012,68,15
1/24/2014,30,17
2/1/2011,61,17
3/12/2011,34,18
2/1/2012,230,25
8/11/2011,115,11
6/6/2017,179,22
2/18/2012,51,5
3/25/2014,39,10
3/11/2016,119,18
4/24/2013,1,nan
10/5/2016,1,nan
10/16/2015,1,nan
2/13/2012,46,10
5/25/2011,115,8
1/28/2017,221,12
12/4/2016,1,nan
9/20/2015,554,8
2/5/2012,39,10
6/7/2011,139,11
10/30/2013,41,10
12/20/2011,130,15
9/17/2014,126,15
6/3/2011,56,12
3/19/2012,32,9
7/25/2011,166,25
7/21/2013,31,15
9/9/2016,183,5
5/12/2015,205,3
7/1/2016,1,nan
6/20/2013,50,8
5/6/2012,6,9
6/17/2015,67,18
4/6/2016,89,9
2/5/2017,206,12
9/16/2013,22,1
7/19/2012,47,10
10/16/2010,11,6
7/2/2015,193,6
6/24/2012,39,16
10/5/2013,20,15
1/21/2017,203,9
3/6/2012,110,6
2/26/2017,1,nan
3/6/2017,1,nan
10/7/2011,59,23
5/9/2014,39,15
8/7/2013,39,15
2/7/2016,70,15
2/6/2007,1,4
3/2/2013,37,25
12/1/2013,41,16
8/12/2016,1,nan
10/25/2011,164,7
8/7/2014,48,19
6/10/2013,1,nan
5/7/2016,46,17
8/19/2014,152,9
10/15/2010,36,15
4/28/2012,1,23
5/2/2012,5,20
4/24/2015,135,25
11/4/2014,9,0
10/25/2014,1,nan
3/4/2011,9,2
9/19/2012,139,6
7/21/2016,2,31
2/16/2011,60,10
8/17/2012,39,19
7/6/2013,22,17
11/9/2013,11,24
7/8/2015,83,14
7/10/2010,1,25
2/22/2013,42,16
11/21/2016,189,6
5/9/2011,196,22
3/4/2016,1,nan
12/3/2012,25,12
10/17/2013,108,6
3/30/2011,64,12
9/13/2015,187,12
1/3/2013,2,0
3/5/2011,23,21
3/30/2014,3,0
7/4/2010,1,5
5/23/2014,1,nan
1/3/2016,277,16
3/1/2016,263,22
8/25/2013,75,6
3/21/2014,20,20
2/21/2011,56,24
10/19/2015,1,nan
8/13/2017,92,15
4/26/2012,32,19
7/23/2015,171,10
7/21/2014,115,16
2/12/2017,1,nan
1/8/2015,44,18
8/12/2011,73,1
4/29/2017,165,10
4/26/2017,76,2
7/15/2013,16,2
10/11/2016,1,nan
10/30/2016,48,17
6/7/2014,56,5
3/13/2017,1,nan
10/30/2012,55,14
3/24/2016,63,15
9/23/2011,109,15
9/24/2012,127,8
2/25/2011,86,6
7/23/2013,15,19
6/7/2012,38,6
1/27/2012,37,19
3/25/2015,1,nan
9/4/2015,230,9
3/30/2012,80,8
4/28/2016,155,4
6/19/2011,111,9
4/2/2011,10,2
10/30/2011,98,18
1/16/2017,1,nan
10/30/2010,2,21
9/22/2012,5,20
1/28/2016,5,0
9/11/2012,225,4
12/26/2011,79,9
11/20/2014,151,25
10/19/2013,98,6
7/2/2011,104,11
5/7/2017,1,nan
5/14/2011,52,19
7/14/2016,1,nan
5/6/2016,79,12
9/12/2011,129,7
1/21/2012,168,4
7/24/2013,17,1
11/26/2011,369,4
7/10/2015,216,25
4/28/2017,38,17
10/17/2011,323,22
1/31/2012,140,12
7/28/2015,1,nan
3/27/2017,163,15
4/14/2016,1,nan
4/4/2015,88,9
11/16/2015,132,18
12/28/2011,50,21
4/1/2014,14,19
3/24/2008,1,4
5/31/2013,26,24
12/16/2010,47,18
3/23/2013,22,11
3/16/2013,33,6
7/11/2015,181,11
5/14/2012,15,12
8/10/2014,20,20
10/19/2011,386,4
5/13/2016,107,5
5/27/2016,37,24
1/6/2016,211,7
5/3/2017,1,nan
2/3/2011,5,21
12/17/2016,1,nan
6/27/2016,25,24
12/1/2012,35,13
3/4/2017,1,nan
3/30/2013,17,9
8/29/2012,30,17
12/17/2013,51,12
11/19/2014,114,7
4/24/2016,55,17
8/18/2014,112,12
11/8/2012,32,7
4/25/2014,14,18
1/29/2013,9,9
2/3/2013,26,22
2/10/2016,173,7
2/9/2012,90,8
6/4/2014,153,6
11/17/2014,316,4
4/28/2011,81,24
9/5/2015,57,19
2/12/2011,11,21
10/5/2010,2,18
2/23/2012,1,0
10/10/2014,83,15
2/7/2012,42,1
1/20/2017,578,8
12/20/2013,47,7
3/31/2016,118,11
3/11/2016,1,nan
6/23/2016,30,20
3/11/2014,24,17
3/1/2014,37,3
5/31/2011,265,4
4/18/2014,16,19
4/10/2012,13,20
3/10/2015,40,19
12/5/2012,54,6
11/15/2013,91,4
3/11/2017,1,nan
4/9/2011,77,9
5/10/2010,1,4
7/19/2011,182,9
11/25/2016,3,31
8/13/2016,1,nan
2/23/2011,21,21
11/13/2016,1,nan
7/17/2015,220,3
8/6/2012,4,20
6/17/2011,162,6
11/1/2014,87,14
9/29/2016,1,nan
8/21/2016,1,nan
5/15/2011,27,20
2/13/2016,262,22
9/2/2017,108,16
8/8/2012,159,6
4/30/2014,91,25
5/24/2011,57,18
3/18/2014,1,nan
7/20/2014,61,10
11/14/2010,13,19
11/8/2016,121,5
6/24/2013,8,24
2/2/2016,1,nan
4/8/2011,173,25
3/8/2014,19,17
5/8/2014,159,4
12/10/2013,28,24
8/10/2015,475,8
3/27/2012,162,16
9/26/2013,62,5
10/9/2016,200,12
1/21/2011,36,12
2/4/2015,45,15
11/28/2011,105,3
3/3/2013,14,15
11/4/2012,59,8
3/19/2017,53,2
2/24/2012,114,12
6/8/2014,122,11
7/30/2016,597,8
2/6/2015,82,14
8/15/2017,33,2
3/29/2014,11,17
3/6/2016,1,31
6/30/2017,84,5
9/20/2017,57,5
7/26/2013,26,17
5/8/2016,71,9
7/16/2012,86,9
5/23/2017,73,16
12/31/2010,1,31
12/5/2012,70,5
2/24/2014,50,5
9/3/2017,73,18
10/24/2015,27,11
5/11/2013,1,19
6/27/2014,18,20
3/4/2015,221,8
5/20/2017,87,12
7/16/2013,4,20
11/1/2012,38,7
6/28/2017,181,9
2/11/2011,95,22
9/7/2011,165,5
3/20/2011,40,18
10/8/2012,1,nan
5/10/2013,30,7
8/1/2014,1,31
8/16/2015,169,9
5/8/2011,287,16
10/22/2010,43,15
4/21/2012,28,19
7/19/2014,117,11
4/5/2014,38,15
5/22/2014,328,8
8/13/2010,1,4
1/22/2014,30,16
2/11/2017,51,17
6/4/2013,22,9
5/24/2015,15,20
12/10/2016,102,16
5/1/2012,49,22
3/11/2012,33,19
6/9/2017,106,15
5/19/2011,54,3
2/16/2015,211,6
11/16/2010,12,9
11/24/2014,37,1
8/1/2011,65,13
12/26/2010,126,22
8/13/2011,58,12
8/16/2014,368,22
11/11/2010,23,18
8/12/2017,68,18
12/7/2015,1,nan
9/6/2016,311,25
3/9/2014,20,15
8/6/2017,167,11
1/15/2016,1,nan
2/26/2016,1,31
3/23/2017,6,20
2/26/2012,35,1
10/10/2013,1,nan
8/2/2013,21,2
8/13/2014,129,9
6/5/2014,317,8
6/11/2013,23,24
9/17/2016,151,11
12/1/2010,31,9
7/12/2011,35,21
2/5/2017,156,4
12/13/2010,16,21
12/25/2012,15,24
8/24/2017,180,6
2/7/2017,14,20
6/24/2011,222,8
4/12/2016,103,10
12/2/2013,45,25
10/22/2012,101,8
11/30/2015,391,4
5/25/2017,1,nan
5/16/2016,69,18
10/3/2014,78,2
4/22/2013,26,16
9/29/2014,1,nan
1/10/2016,212,16
5/28/2012,70,8
10/16/2015,223,12
5/16/2012,13,24
6/8/2015,175,9
1/28/2015,36,24
7/13/2016,144,14
1/6/2013,11,17
11/10/2012,68,22
10/22/2015,71,9
8/2/2016,122,19
3/10/2017,256,12
9/30/2014,63,18
4/11/2017,87,18
2/2/2014,26,14
3/26/2014,89,7
1/19/2015,1,nan
6/30/2015,100,5
12/10/2014,39,1
6/16/2010,1,17
8/5/2014,160,9
7/14/2016,188,7
10/6/2012,64,9
2/18/2015,216,11
8/28/2017,121,16
9/18/2013,53,10
7/3/2011,23,2
7/8/2016,1,nan
9/22/2014,147,3
9/6/2013,148,8
5/12/2016,61,9
8/27/2011,40,23
5/15/2016,56,19
6/28/2011,314,4
10/18/2014,24,1
9/22/2013,42,7
9/11/2011,156,17
8/10/2013,1,0
9/30/2013,102,6
8/31/2017,1,nan
5/15/2014,39,14
7/26/2016,114,19
6/13/2016,189,10
3/3/2015,50,1
12/30/2015,92,17
7/30/2014,90,10
12/9/2016,205,6
3/17/2016,328,4
9/5/2016,286,10
3/31/2012,35,18
9/16/2014,135,15
10/11/2010,3,1
3/8/2011,164,22
3/31/2013,44,6
5/5/2011,10,2
3/14/2014,202,8
10/21/2016,347,9
8/5/2017,156,11
5/14/2013,1,nan
3/19/2014,26,1
2/17/2015,53,1
3/20/2017,114,22
1/23/2011,37,7
10/27/2013,21,14
11/27/2011,5,0
11/7/2011,205,6
11/29/2011,240,5
8/20/2016,1,nan
7/10/2012,87,8
7/8/2016,146,16
2/22/2017,208,16
7/7/2011,371,16
2/26/2014,21,11
2/14/2017,617,8
5/30/2011,2,0
2/28/2014,24,1
3/4/2013,19,11
3/2/2015,54,18
4/12/2013,7,18
9/10/2015,218,10
12/13/2016,221,9
10/7/2016,189,12
6/9/2013,24,24
11/29/2013,57,7
10/10/2010,9,10
8/5/2010,1,4
3/31/2014,62,5
9/22/2012,27,2
12/9/2015,126,11
1/26/2014,24,1
9/4/2016,1,nan
6/13/2012,38,22
9/29/2011,120,10
4/13/2016,205,16
3/5/2012,48,13
11/1/2013,54,7
10/9/2016,1,nan
1/10/2013,7,24
10/16/2012,167,4
9/16/2016,237,6
7/31/2011,84,14
10/20/2011,135,9
8/27/2010,1,4
3/1/2013,2,18
2/5/2017,16,0
9/2/2012,79,3
3/5/2013,6,7
12/31/2016,192,6
1/18/2015,95,25
2/21/2011,26,12
9/29/2016,107,2
3/10/2007,1,4
12/31/2012,15,3
1/17/2012,67,9
8/12/2016,119,17
