Date, Crime, Crime Type, PD
2016-04-08,1,THEFT,12
2016-04-10,1,BURGLARY,4
2016-04-06,2,OFFENSE INVOLVING CHILDREN,12
2016-02-26,1,SEX OFFENSE,16
2016-01-02,1,OTHER OFFENSE,6
2016-01-27,1,DECEPTIVE PRACTICE,12
2016-04-12,1,OFFENSE INVOLVING CHILDREN,14
2016-04-07,2,OFFENSE INVOLVING CHILDREN,5
2016-01-26,1,DECEPTIVE PRACTICE,22
2015-12-23,1,DECEPTIVE PRACTICE,2
2015-12-18,1,ASSAULT,2
2015-03-03,1,OFFENSE INVOLVING CHILDREN,6
2015-03-14,1,CRIM SEXUAL ASSAULT,17
2015-06-03,1,DECEPTIVE PRACTICE,8
2016-04-16,1,OFFENSE INVOLVING CHILDREN,6
2016-04-16,1,OFFENSE INVOLVING CHILDREN,22
2016-01-06,1,THEFT,22
2016-04-04,1,OFFENSE INVOLVING CHILDREN,7
2016-04-16,1,OFFENSE INVOLVING CHILDREN,5
2016-01-06,1,CRIMINAL DAMAGE,16
2012-06-01,1,OFFENSE INVOLVING CHILDREN,16
2013-03-03,1,DECEPTIVE PRACTICE,11
2016-01-26,1,DECEPTIVE PRACTICE,19
2015-04-01,3,DECEPTIVE PRACTICE,6
2015-11-01,1,DECEPTIVE PRACTICE,8
2015-12-27,1,CRIM SEXUAL ASSAULT,10
2015-10-01,3,DECEPTIVE PRACTICE,19
2015-09-29,1,DECEPTIVE PRACTICE,1
2016-03-26,2,DECEPTIVE PRACTICE,4
2013-06-01,1,DECEPTIVE PRACTICE,12
2016-01-16,1,DECEPTIVE PRACTICE,17
2016-04-09,1,THEFT,8
2016-01-30,1,OTHER OFFENSE,14
2016-04-04,7,THEFT,25
2016-01-10,1,OTHER OFFENSE,24
2016-02-20,1,DECEPTIVE PRACTICE,6
2015-01-01,2,CRIM SEXUAL ASSAULT,4
2015-09-27,1,OTHER OFFENSE,10
2015-10-01,3,OFFENSE INVOLVING CHILDREN,8
2015-12-05,1,BURGLARY,11
2015-02-13,1,DECEPTIVE PRACTICE,3
2016-04-06,7,THEFT,6
2014-10-16,1,THEFT,25
2016-04-07,14,THEFT,1
2015-06-14,1,DECEPTIVE PRACTICE,2
2016-02-18,1,DECEPTIVE PRACTICE,14
2016-01-19,1,DECEPTIVE PRACTICE,25
2013-02-03,1,DECEPTIVE PRACTICE,14
2016-01-29,1,THEFT,10
2015-09-04,1,HOMICIDE,22
2016-02-23,1,CRIM SEXUAL ASSAULT,11
2016-02-26,2,BATTERY,24
2016-02-26,1,HOMICIDE,9
2015-05-24,1,OFFENSE INVOLVING CHILDREN,2
2016-04-16,1,DECEPTIVE PRACTICE,5
2016-04-01,8,THEFT,5
2016-03-27,4,CRIMINAL DAMAGE,18
2016-04-10,1,THEFT,16
2016-04-17,1,OTHER OFFENSE,9
2016-04-13,1,CRIMINAL DAMAGE,20
2016-04-06,7,THEFT,14
2016-04-03,1,DECEPTIVE PRACTICE,5
2016-04-02,1,DECEPTIVE PRACTICE,15
2016-04-09,2,THEFT,9
2016-04-12,1,BATTERY,8
2016-04-14,1,DECEPTIVE PRACTICE,22
2016-04-09,1,DECEPTIVE PRACTICE,20
2016-04-13,1,CRIMINAL DAMAGE,15
2016-04-01,4,OTHER OFFENSE,5
2016-04-16,1,DECEPTIVE PRACTICE,22
2016-04-06,2,BURGLARY,18
2016-03-27,3,THEFT,6
2016-04-10,1,CRIMINAL DAMAGE,12
2016-04-09,4,DECEPTIVE PRACTICE,19
2015-09-29,1,ASSAULT,15
2013-04-04,1,NARCOTICS,11
2015-10-06,1,BATTERY,4
2015-10-18,1,ROBBERY,12
2015-02-25,3,NARCOTICS,11
2015-11-16,1,BATTERY,15
2015-11-12,1,OTHER OFFENSE,15
2015-12-19,1,MOTOR VEHICLE THEFT,24
2016-01-11,1,ROBBERY,18
2016-01-28,1,ASSAULT,4
2016-02-04,1,KIDNAPPING,6
2016-04-15,1,ROBBERY,12
2016-04-15,1,SEX OFFENSE,25
2016-02-24,1,OTHER OFFENSE,5
2016-01-26,1,NARCOTICS,7
2016-02-23,1,WEAPONS VIOLATION,7
2016-02-19,1,LIQUOR LAW VIOLATION,11
2013-03-07,1,NARCOTICS,11
2014-03-29,1,BURGLARY,4
2016-04-14,2,ROBBERY,7
2013-12-12,1,NARCOTICS,16
2016-04-12,1,DECEPTIVE PRACTICE,14
2016-02-27,6,CRIMINAL DAMAGE,16
2016-02-27,1,CRIMINAL TRESPASS,15
2015-04-21,1,NARCOTICS,11
2015-03-09,1,NARCOTICS,16
2016-02-27,4,BATTERY,19
2016-02-27,4,ROBBERY,25
2016-02-27,12,BATTERY,25
2016-02-27,1,ASSAULT,12
2016-02-27,14,BATTERY,11
2016-02-27,9,CRIMINAL DAMAGE,11
2016-02-27,11,THEFT,19
2016-02-27,3,MOTOR VEHICLE THEFT,6
2016-02-27,6,CRIMINAL DAMAGE,19
2016-02-27,14,CRIMINAL DAMAGE,8
2016-02-27,4,NARCOTICS,4
2016-02-27,2,ASSAULT,18
2016-02-27,7,BATTERY,7
2016-02-27,7,THEFT,14
2016-02-27,2,ROBBERY,12
2016-02-27,7,BATTERY,18
2016-02-27,3,THEFT,22
2016-02-27,8,BATTERY,15
2016-02-27,3,DECEPTIVE PRACTICE,3
2016-02-27,3,DECEPTIVE PRACTICE,17
2016-02-27,3,PROSTITUTION,11
2016-02-27,6,BATTERY,8
2016-02-27,4,CRIMINAL DAMAGE,2
2016-02-27,7,CRIMINAL DAMAGE,6
2016-02-27,6,THEFT,15
2016-02-27,1,CRIMINAL TRESPASS,3
2016-02-27,12,BATTERY,10
2016-02-27,8,BATTERY,9
2016-02-27,5,CRIMINAL DAMAGE,25
2016-02-27,3,BATTERY,24
2016-02-27,5,OTHER OFFENSE,9
2016-02-27,11,BATTERY,3
2016-02-27,6,THEFT,3
2016-02-27,2,CRIMINAL DAMAGE,14
2016-02-27,1,BURGLARY,11
2016-02-27,8,BATTERY,5
2016-02-27,5,CRIMINAL DAMAGE,15
2016-02-27,3,CRIMINAL DAMAGE,7
2016-02-27,2,BATTERY,17
2016-02-27,1,BURGLARY,10
2016-02-27,4,CRIMINAL DAMAGE,12
2016-02-27,1,NARCOTICS,16
2016-02-27,2,CRIMINAL TRESPASS,4
2016-02-27,7,CRIMINAL DAMAGE,5
2016-02-27,2,OTHER OFFENSE,16
2016-02-27,2,CRIMINAL TRESPASS,19
2016-02-27,7,BATTERY,4
2016-02-27,1,MOTOR VEHICLE THEFT,4
2016-04-11,1,CRIM SEXUAL ASSAULT,8
2016-02-27,2,ASSAULT,10
2016-02-27,4,NARCOTICS,7
2016-02-27,3,ASSAULT,25
2014-04-06,1,DECEPTIVE PRACTICE,20
2014-08-26,1,BATTERY,4
2014-12-09,1,BATTERY,3
2016-02-27,3,ASSAULT,3
2016-02-27,1,BURGLARY,12
2016-02-27,1,MOTOR VEHICLE THEFT,10
2016-02-27,2,ROBBERY,6
2016-02-27,2,CRIMINAL DAMAGE,4
2016-02-27,4,ASSAULT,7
2016-02-27,2,CRIMINAL TRESPASS,25
2016-02-27,6,THEFT,16
2016-02-27,7,CRIMINAL DAMAGE,1
2016-02-27,14,THEFT,12
2016-02-27,1,OTHER OFFENSE,2
2016-02-27,5,THEFT,24
2016-02-27,10,THEFT,8
2016-02-27,4,MOTOR VEHICLE THEFT,5
2016-02-27,6,BATTERY,12
2016-02-27,1,CRIMINAL TRESPASS,5
2016-04-17,1,MOTOR VEHICLE THEFT,20
2016-02-27,6,THEFT,17
2016-02-27,5,THEFT,5
2016-02-27,4,MOTOR VEHICLE THEFT,24
2016-02-27,2,ASSAULT,8
2016-02-27,3,MOTOR VEHICLE THEFT,11
2016-02-27,2,NARCOTICS,9
2016-02-27,2,DECEPTIVE PRACTICE,6
2016-02-27,1,CRIMINAL DAMAGE,3
2016-02-27,1,WEAPONS VIOLATION,6
2016-02-27,8,NARCOTICS,11
2016-02-27,1,ROBBERY,4
2016-02-27,1,CRIMINAL TRESPASS,2
2016-02-27,5,OTHER OFFENSE,8
2016-02-27,3,ROBBERY,11
2016-02-27,1,CRIM SEXUAL ASSAULT,15
2016-04-06,2,OTHER OFFENSE,20
2016-02-27,8,THEFT,25
2016-02-27,1,CRIMINAL DAMAGE,18
2016-02-27,2,OTHER OFFENSE,11
2016-02-27,3,CRIMINAL DAMAGE,9
2016-02-27,4,ASSAULT,9
2016-02-27,3,OTHER OFFENSE,19
2016-02-27,1,OTHER OFFENSE,22
2016-02-27,3,BATTERY,22
2016-02-27,1,INTERFERENCE WITH PUBLIC OFFICER,4
2016-02-27,2,MOTOR VEHICLE THEFT,8
2016-02-27,1,ASSAULT,19
2016-02-27,2,ROBBERY,15
2016-03-31,19,THEFT,1
2016-02-27,6,THEFT,4
2016-02-27,25,THEFT,18
2016-02-27,2,OTHER OFFENSE,7
2016-02-27,3,OTHER OFFENSE,10
2016-02-27,2,WEAPONS VIOLATION,14
2016-02-27,9,DECEPTIVE PRACTICE,18
2016-02-27,1,MOTOR VEHICLE THEFT,12
2016-02-27,1,MOTOR VEHICLE THEFT,3
2016-02-27,2,MOTOR VEHICLE THEFT,18
2016-02-27,2,ROBBERY,7
2016-02-27,2,BURGLARY,16
2016-02-27,11,THEFT,1
2016-02-27,1,NARCOTICS,2
2016-02-27,3,WEAPONS VIOLATION,4
2016-02-27,5,BATTERY,2
2016-02-27,4,THEFT,20
2016-02-27,1,ROBBERY,8
2016-02-27,3,NARCOTICS,25
2016-02-27,8,DECEPTIVE PRACTICE,19
2016-02-27,3,BURGLARY,25
2016-02-27,3,NARCOTICS,6
2016-02-27,1,CRIM SEXUAL ASSAULT,10
2016-02-27,2,ASSAULT,6
2016-02-27,4,THEFT,6
2016-02-27,4,THEFT,2
2016-02-27,1,BATTERY,20
2016-02-27,4,BATTERY,16
2016-02-27,3,CRIMINAL DAMAGE,10
2016-02-27,1,ROBBERY,14
2016-02-27,1,PUBLIC PEACE VIOLATION,4
2016-02-27,3,NARCOTICS,15
2016-02-27,1,ASSAULT,17
2016-02-27,2,BURGLARY,14
2016-04-15,1,OFFENSE INVOLVING CHILDREN,22
2016-02-27,1,CRIMINAL TRESPASS,7
2016-02-27,1,DECEPTIVE PRACTICE,4
2016-04-03,2,MOTOR VEHICLE THEFT,3
2016-02-27,1,BURGLARY,2
2016-02-27,2,ASSAULT,5
2016-02-27,1,CRIMINAL TRESPASS,8
2016-02-27,2,OTHER OFFENSE,4
2016-02-27,1,PUBLIC PEACE VIOLATION,15
2016-03-28,19,THEFT,1
2016-02-27,1,PUBLIC PEACE VIOLATION,6
2016-02-27,1,LIQUOR LAW VIOLATION,10
2016-02-27,3,ASSAULT,11
2016-02-27,1,ROBBERY,16
2016-02-27,2,OTHER OFFENSE,6
2016-02-27,2,NARCOTICS,8
2016-02-27,3,BATTERY,1
2016-02-27,1,NARCOTICS,19
2016-02-27,1,CONCEALED CARRY LICENSE VIOLATION,7
2016-02-27,3,MOTOR VEHICLE THEFT,25
2016-02-27,1,NARCOTICS,22
2016-02-27,2,CRIMINAL TRESPASS,16
2016-02-27,2,THEFT,10
2016-02-27,1,NARCOTICS,12
2016-02-27,1,LIQUOR LAW VIOLATION,8
2016-04-04,4,DECEPTIVE PRACTICE,22
2016-02-27,2,OFFENSE INVOLVING CHILDREN,11
2016-04-14,2,THEFT,24
2016-02-27,1,SEX OFFENSE,1
2016-02-27,1,MOTOR VEHICLE THEFT,9
2016-02-27,5,BATTERY,14
2016-02-27,2,ROBBERY,3
2016-02-27,1,WEAPONS VIOLATION,9
2016-04-02,4,DECEPTIVE PRACTICE,14
2016-02-27,1,PUBLIC PEACE VIOLATION,19
2016-02-27,3,THEFT,9
2016-02-27,1,CRIM SEXUAL ASSAULT,12
2016-02-27,2,CRIMINAL DAMAGE,22
2016-02-27,1,ROBBERY,24
2016-02-27,1,BURGLARY,3
2016-02-27,2,MOTOR VEHICLE THEFT,7
2016-02-27,1,CRIMINAL DAMAGE,17
2016-02-27,4,DECEPTIVE PRACTICE,1
2016-02-27,1,ASSAULT,22
2016-02-27,1,OTHER OFFENSE,3
2016-02-27,2,ASSAULT,14
2016-02-27,3,CRIMINAL DAMAGE,24
2016-02-27,1,CRIMINAL TRESPASS,17
2016-02-27,1,DECEPTIVE PRACTICE,24
2016-02-27,1,DECEPTIVE PRACTICE,20
2016-02-27,3,DECEPTIVE PRACTICE,8
2016-02-27,1,MOTOR VEHICLE THEFT,2
2016-02-27,2,OTHER OFFENSE,1
2016-04-05,22,THEFT,1
2016-02-27,3,THEFT,11
2016-04-11,1,CRIMINAL DAMAGE,6
2016-02-27,1,ASSAULT,15
2016-02-27,1,CRIM SEXUAL ASSAULT,18
2016-02-27,1,ASSAULT,24
2016-02-28,5,THEFT,16
2016-02-27,3,DECEPTIVE PRACTICE,10
2016-02-27,1,BURGLARY,19
2016-02-27,1,THEFT,7
2016-02-27,1,OTHER OFFENSE,12
2016-02-27,2,DECEPTIVE PRACTICE,9
2016-02-27,1,DECEPTIVE PRACTICE,16
2016-02-27,1,MOTOR VEHICLE THEFT,20
2016-02-27,1,CRIMINAL TRESPASS,9
2016-02-27,1,OTHER OFFENSE,18
2016-02-27,2,BURGLARY,18
2016-02-27,1,DECEPTIVE PRACTICE,2
2016-04-13,1,THEFT,19
2016-02-27,4,DECEPTIVE PRACTICE,7
2016-02-27,1,OFFENSE INVOLVING CHILDREN,25
2016-02-27,1,DECEPTIVE PRACTICE,22
2016-02-27,1,CRIM SEXUAL ASSAULT,24
2016-02-27,1,BURGLARY,7
2016-04-01,9,THEFT,8
2016-04-14,1,ASSAULT,6
2016-04-13,2,DECEPTIVE PRACTICE,18
2016-03-31,3,DECEPTIVE PRACTICE,15
2016-04-14,1,OTHER OFFENSE,25
2016-04-03,1,OFFENSE INVOLVING CHILDREN,12
2016-04-14,2,DECEPTIVE PRACTICE,12
2016-04-11,1,THEFT,8
2016-04-06,5,THEFT,17
2016-04-07,2,BURGLARY,7
2016-03-30,3,DECEPTIVE PRACTICE,4
2016-01-14,1,DECEPTIVE PRACTICE,9
2015-08-04,2,DECEPTIVE PRACTICE,12
2016-04-13,1,THEFT,15
2016-04-15,1,PROSTITUTION,11
2016-04-07,3,OTHER OFFENSE,11
2016-04-15,1,THEFT,15
2016-04-07,5,BURGLARY,6
2016-04-14,1,DECEPTIVE PRACTICE,7
2016-03-30,3,DECEPTIVE PRACTICE,19
2016-04-12,1,THEFT,12
2016-01-28,1,ASSAULT,24
2016-01-01,1,DECEPTIVE PRACTICE,9
2016-01-02,1,DECEPTIVE PRACTICE,22
2015-11-05,1,SEX OFFENSE,18
2015-11-17,3,THEFT,1
2015-12-04,1,DECEPTIVE PRACTICE,18
2015-12-08,1,OTHER OFFENSE,4
2016-04-03,1,OTHER OFFENSE,20
2016-04-12,1,DECEPTIVE PRACTICE,22
2016-04-02,9,THEFT,19
2016-04-07,2,DECEPTIVE PRACTICE,18
2016-04-17,2,MOTOR VEHICLE THEFT,1
2016-04-14,2,DECEPTIVE PRACTICE,1
2016-01-01,1,CRIMINAL DAMAGE,8
2015-11-05,1,DECEPTIVE PRACTICE,17
2016-01-16,2,DECEPTIVE PRACTICE,4
2016-01-25,1,DECEPTIVE PRACTICE,1
2015-06-01,2,OFFENSE INVOLVING CHILDREN,8
2015-08-01,4,DECEPTIVE PRACTICE,25
2014-12-12,1,SEX OFFENSE,22
2016-02-28,3,CRIMINAL DAMAGE,5
2016-03-30,3,ASSAULT,16
2016-04-13,1,DECEPTIVE PRACTICE,17
2016-04-07,1,DECEPTIVE PRACTICE,7
2016-02-15,5,THEFT,25
2016-01-03,1,CRIMINAL DAMAGE,3
2015-10-20,1,DECEPTIVE PRACTICE,7
2016-02-28,1,CRIMINAL TRESPASS,18
2016-02-28,6,CRIMINAL DAMAGE,12
2016-02-28,8,CRIMINAL DAMAGE,25
2016-02-28,14,THEFT,8
2016-02-28,5,BATTERY,17
2016-02-28,5,ASSAULT,6
2016-02-28,6,BATTERY,1
2016-02-28,5,CRIMINAL DAMAGE,14
2016-02-28,8,BATTERY,14
2016-02-28,8,BATTERY,16
2016-02-28,4,ROBBERY,10
2016-02-28,3,CRIMINAL DAMAGE,9
2016-02-28,4,ASSAULT,1
2016-02-28,2,NARCOTICS,1
2016-02-28,12,BATTERY,7
2016-02-28,4,PROSTITUTION,11
2016-02-28,11,THEFT,19
2016-02-28,6,BATTERY,4
2016-02-28,4,ASSAULT,3
2016-04-04,6,DECEPTIVE PRACTICE,8
2015-10-10,1,MOTOR VEHICLE THEFT,16
2015-10-27,1,MOTOR VEHICLE THEFT,20
2016-03-28,1,BURGLARY,1
2015-11-03,1,MOTOR VEHICLE THEFT,11
2015-11-05,1,MOTOR VEHICLE THEFT,11
2015-11-12,1,MOTOR VEHICLE THEFT,20
2015-11-28,1,MOTOR VEHICLE THEFT,25
2015-12-11,1,BATTERY,8
2015-12-11,1,MOTOR VEHICLE THEFT,20
2015-12-13,1,OTHER OFFENSE,20
2015-11-28,1,DECEPTIVE PRACTICE,16
2016-01-18,1,CRIMINAL DAMAGE,8
2016-01-19,1,OFFENSE INVOLVING CHILDREN,1
2016-01-21,1,OTHER OFFENSE,7
2016-01-23,1,MOTOR VEHICLE THEFT,25
2016-01-23,1,MOTOR VEHICLE THEFT,11
2016-01-23,1,ASSAULT,2
2016-01-24,1,MOTOR VEHICLE THEFT,25
2015-09-15,1,OTHER OFFENSE,11
2016-01-26,1,MOTOR VEHICLE THEFT,25
2016-01-27,1,MOTOR VEHICLE THEFT,25
2016-01-28,1,MOTOR VEHICLE THEFT,16
2016-01-22,1,OFFENSE INVOLVING CHILDREN,1
2016-01-29,1,OTHER OFFENSE,11
2016-02-09,1,MOTOR VEHICLE THEFT,11
2016-02-28,9,BATTERY,11
2016-02-28,11,BATTERY,10
2016-02-28,6,DECEPTIVE PRACTICE,1
2016-02-28,8,BATTERY,2
2016-02-28,3,ASSAULT,4
2016-02-28,1,CRIMINAL DAMAGE,1
2016-02-28,10,CRIMINAL DAMAGE,10
2016-02-28,3,THEFT,15
2016-02-28,7,BATTERY,5
2016-02-28,1,ROBBERY,14
2016-02-28,3,BURGLARY,6
2016-02-28,2,OTHER OFFENSE,3
2016-02-28,7,BATTERY,8
2016-02-28,7,CRIMINAL DAMAGE,8
2016-02-28,1,BURGLARY,15
2016-02-28,6,THEFT,11
2016-02-28,3,THEFT,6
2016-02-28,2,THEFT,22
2016-02-28,6,CRIMINAL DAMAGE,7
2016-03-26,1,DECEPTIVE PRACTICE,6
2016-02-28,4,OTHER OFFENSE,5
2016-02-28,2,ROBBERY,25
2016-02-28,2,CRIMINAL DAMAGE,17
2016-02-28,1,CRIMINAL TRESPASS,17
2016-02-28,4,BURGLARY,8
2016-02-28,5,CRIMINAL DAMAGE,6
2016-02-28,4,BATTERY,9
2016-02-28,5,MOTOR VEHICLE THEFT,25
2016-04-13,1,THEFT,10
2016-02-28,4,THEFT,17
2016-02-28,1,ASSAULT,8
2016-02-28,3,CRIMINAL DAMAGE,15
2016-02-28,4,OTHER OFFENSE,8
2016-02-28,1,NARCOTICS,2
2016-02-28,6,THEFT,4
2016-02-28,6,THEFT,9
2016-02-28,2,DECEPTIVE PRACTICE,18
2016-02-28,2,NARCOTICS,9
2016-02-28,3,OTHER OFFENSE,14
2016-02-28,3,BURGLARY,7
2016-02-28,2,ROBBERY,9
2016-02-28,3,MOTOR VEHICLE THEFT,2
2016-02-28,1,NARCOTICS,10
2016-02-28,3,CRIMINAL DAMAGE,22
2016-02-28,2,NARCOTICS,25
2016-02-28,2,ASSAULT,12
2016-02-28,12,THEFT,1
2016-02-28,4,CRIMINAL DAMAGE,2
2016-02-28,10,THEFT,14
2016-02-28,2,MOTOR VEHICLE THEFT,11
2016-02-28,1,ROBBERY,12
2016-02-28,5,CRIMINAL DAMAGE,11
2016-02-28,1,OFFENSE INVOLVING CHILDREN,1
2016-02-28,3,MOTOR VEHICLE THEFT,8
2016-02-28,5,THEFT,10
2016-02-28,3,WEAPONS VIOLATION,8
2016-02-28,3,THEFT,7
2016-02-28,6,NARCOTICS,11
2016-02-28,5,NARCOTICS,15
2016-02-28,1,NARCOTICS,14
2016-02-28,2,OTHER OFFENSE,6
2016-02-28,2,ROBBERY,11
2016-02-28,4,MOTOR VEHICLE THEFT,9
2016-02-28,1,CRIMINAL TRESPASS,7
2016-02-28,3,OTHER OFFENSE,25
2016-02-28,2,MOTOR VEHICLE THEFT,3
2016-02-28,1,ROBBERY,19
2016-02-28,1,ASSAULT,9
2016-02-28,3,OTHER OFFENSE,22
2016-02-28,2,DECEPTIVE PRACTICE,19
2016-04-08,1,THEFT,4
2016-02-28,1,ASSAULT,2
2016-02-28,1,WEAPONS VIOLATION,6
2016-02-28,2,CRIMINAL DAMAGE,24
2016-02-28,2,DECEPTIVE PRACTICE,8
2016-02-28,1,BURGLARY,24
2016-02-28,1,CRIMINAL DAMAGE,20
2016-02-28,4,BATTERY,24
2016-02-28,4,THEFT,5
2016-04-12,2,DECEPTIVE PRACTICE,20
2016-02-28,4,MOTOR VEHICLE THEFT,12
2016-02-28,1,ASSAULT,18
2016-02-28,3,WEAPONS VIOLATION,3
2016-02-28,1,SEX OFFENSE,6
2016-02-28,2,CRIMINAL DAMAGE,3
2016-02-28,1,DECEPTIVE PRACTICE,4
2016-02-28,1,PUBLIC PEACE VIOLATION,7
2016-02-28,6,THEFT,18
2016-02-28,2,ASSAULT,5
2016-02-28,2,OTHER OFFENSE,4
2016-02-28,5,BATTERY,22
2016-02-28,3,CRIMINAL DAMAGE,4
2016-04-05,10,THEFT,12
2016-02-28,5,THEFT,24
2016-04-14,1,THEFT,19
2016-02-28,3,OTHER OFFENSE,7
2016-02-28,1,ASSAULT,25
2016-02-28,2,DECEPTIVE PRACTICE,11
2016-02-28,3,NARCOTICS,8
2016-02-28,1,ARSON,10
2016-02-28,1,ASSAULT,10
2016-02-28,2,OTHER OFFENSE,17
2016-02-28,1,PUBLIC PEACE VIOLATION,22
2016-02-28,1,ASSAULT,17
2016-04-16,2,DECEPTIVE PRACTICE,12
2016-02-28,1,ROBBERY,6
2016-02-28,2,OTHER OFFENSE,10
2016-02-28,2,CRIMINAL TRESPASS,22
2016-02-28,1,MOTOR VEHICLE THEFT,15
2016-02-28,1,ASSAULT,7
2016-02-28,1,MOTOR VEHICLE THEFT,19
2016-02-28,1,BURGLARY,9
2016-02-28,1,OFFENSE INVOLVING CHILDREN,25
2016-02-28,4,BATTERY,3
2016-04-17,1,DECEPTIVE PRACTICE,22
2016-02-28,2,MOTOR VEHICLE THEFT,6
2016-02-28,1,DECEPTIVE PRACTICE,17
2016-02-28,2,OTHER OFFENSE,2
2016-02-28,2,ROBBERY,4
2016-02-28,2,CRIMINAL DAMAGE,18
2016-02-28,1,WEAPONS VIOLATION,12
2016-02-28,1,CRIMINAL TRESPASS,11
2016-02-28,1,PUBLIC PEACE VIOLATION,24
2016-02-28,3,CRIMINAL DAMAGE,16
2016-02-28,1,ROBBERY,18
2016-02-28,1,DECEPTIVE PRACTICE,7
2016-02-28,1,NARCOTICS,4
2016-02-28,1,STALKING,18
2016-02-28,1,NARCOTICS,6
2016-02-28,2,THEFT,3
2016-02-28,1,CRIMINAL TRESPASS,3
2016-02-28,1,ROBBERY,17
2016-02-28,1,NARCOTICS,24
2016-02-28,3,DECEPTIVE PRACTICE,12
2016-02-28,2,BATTERY,20
2016-04-17,1,MOTOR VEHICLE THEFT,19
2016-02-28,1,SEX OFFENSE,3
2016-04-15,2,ROBBERY,6
2016-02-28,1,ASSAULT,15
2016-02-28,1,MOTOR VEHICLE THEFT,22
2016-02-28,1,MOTOR VEHICLE THEFT,4
2016-02-28,2,ROBBERY,3
2016-02-28,1,ROBBERY,5
2016-02-28,4,THEFT,2
2016-04-14,1,OTHER OFFENSE,7
2016-02-28,2,BURGLARY,22
2016-02-28,2,DECEPTIVE PRACTICE,10
2016-02-28,1,THEFT,20
2016-02-28,2,MOTOR VEHICLE THEFT,20
2016-02-28,2,BURGLARY,4
2016-02-28,2,THEFT,25
2016-02-28,1,MOTOR VEHICLE THEFT,18
2016-02-28,2,DECEPTIVE PRACTICE,16
2016-02-28,1,BURGLARY,17
2016-04-06,1,SEX OFFENSE,11
2016-02-28,1,OTHER OFFENSE,16
2016-02-28,2,MOTOR VEHICLE THEFT,24
2016-02-28,1,OFFENSE INVOLVING CHILDREN,5
2016-03-31,13,THEFT,18
2016-03-31,4,THEFT,25
2016-04-14,1,THEFT,15
2016-04-05,3,THEFT,3
2016-04-08,1,DECEPTIVE PRACTICE,19
2016-04-15,1,DECEPTIVE PRACTICE,7
2016-04-01,10,THEFT,19
2016-03-31,5,THEFT,17
2016-04-13,1,THEFT,2
2016-04-01,7,OTHER OFFENSE,8
2016-02-28,1,BURGLARY,19
2016-01-01,1,OTHER OFFENSE,10
2016-04-18,4,ASSAULT,11
2016-04-18,3,BATTERY,14
2016-04-18,7,ASSAULT,6
2016-04-18,6,BATTERY,2
2016-04-18,2,DECEPTIVE PRACTICE,9
2016-04-18,1,INTERFERENCE WITH PUBLIC OFFICER,7
2014-04-07,1,DECEPTIVE PRACTICE,17
2016-04-18,4,NARCOTICS,6
2016-04-18,7,BATTERY,10
2016-04-18,9,THEFT,10
2014-09-05,1,OTHER OFFENSE,25
2016-02-23,2,DECEPTIVE PRACTICE,18
2016-02-28,1,DECEPTIVE PRACTICE,25
2015-05-23,1,DECEPTIVE PRACTICE,10
2015-12-15,2,ASSAULT,12
2015-08-15,2,BATTERY,16
2015-12-04,2,OTHER OFFENSE,14
2015-12-06,1,ASSAULT,12
2015-12-19,1,ROBBERY,11
2016-01-03,1,ROBBERY,12
2016-01-13,1,ROBBERY,24
2016-01-16,1,ROBBERY,24
2016-01-22,1,MOTOR VEHICLE THEFT,3
2016-01-29,3,BATTERY,9
2016-04-18,10,BATTERY,3
2016-02-10,1,WEAPONS VIOLATION,16
2016-02-19,1,WEAPONS VIOLATION,5
2016-02-22,1,ROBBERY,12
2016-02-23,1,ROBBERY,9
2016-02-26,1,DECEPTIVE PRACTICE,5
2016-02-26,1,OFFENSE INVOLVING CHILDREN,4
2016-02-27,1,BURGLARY,5
2016-02-26,2,DECEPTIVE PRACTICE,17
2016-02-22,1,OFFENSE INVOLVING CHILDREN,16
2016-04-18,13,BATTERY,11
2016-02-28,1,OFFENSE INVOLVING CHILDREN,19
2016-02-28,2,CRIM SEXUAL ASSAULT,2
2016-02-27,1,OFFENSE INVOLVING CHILDREN,9
2016-04-18,2,ROBBERY,10
2016-02-15,3,BURGLARY,6
2016-02-22,1,DECEPTIVE PRACTICE,7
2016-02-22,1,MOTOR VEHICLE THEFT,17
2016-02-28,1,MOTOR VEHICLE THEFT,14
2016-02-27,1,OFFENSE INVOLVING CHILDREN,17
2016-02-22,1,DECEPTIVE PRACTICE,6
2016-02-19,1,OFFENSE INVOLVING CHILDREN,15
2016-02-13,1,BURGLARY,4
2016-02-20,1,DECEPTIVE PRACTICE,20
2016-02-24,1,DECEPTIVE PRACTICE,25
2016-02-28,1,SEX OFFENSE,15
2016-02-28,1,OTHER OFFENSE,24
2016-02-23,1,DECEPTIVE PRACTICE,10
2016-02-28,1,CRIM SEXUAL ASSAULT,5
2016-02-27,1,ROBBERY,20
2016-04-18,2,WEAPONS VIOLATION,5
2016-02-20,1,OFFENSE INVOLVING CHILDREN,10
2016-02-18,1,CRIM SEXUAL ASSAULT,16
2016-02-24,1,OFFENSE INVOLVING CHILDREN,14
2016-02-27,1,MOTOR VEHICLE THEFT,16
2016-02-16,1,ROBBERY,25
2016-02-14,1,DECEPTIVE PRACTICE,11
2016-02-21,1,DECEPTIVE PRACTICE,7
2016-04-18,8,BATTERY,4
